book1,book2,weight
3948,411993,5
3948,421078,7
5506,27579,26
5506,49057,14
5506,65369,2
5506,109549,3
5664,16234,5
5664,18370,4
5664,18517,2
5664,49057,2
5664,65369,2
5664,88772,3
5664,109549,3
5664,125910,2
5664,411993,4
5664,421078,4
5665,16234,8
5665,18370,3
5665,18517,6
5665,49057,5
5665,65369,2
5665,109549,2
5665,125910,4
5665,411993,2
5665,421078,3
5666,18370,2
5666,18517,5
5666,49057,4
5666,65369,2
5666,88772,4
5666,109549,2
5666,125910,3
5666,411993,2
5666,421078,2
5667,18370,3
5667,18517,7
5667,49057,6
5667,65369,2
5667,88772,9
5667,109549,2
5667,125910,4
5667,411993,3
5667,421078,2
5668,18370,2
5668,18517,7
5668,49057,8
5668,65369,2
5668,109549,2
5668,125910,4
5668,411993,3
5668,421078,2
6877,49057,11
6877,65369,4
6877,109549,3
6877,421078,7
16234,49057,14
16234,51231,15
16234,65369,7
16234,109549,2
16234,125910,9
16234,421078,4
18370,49057,5
18370,51703,14
18370,65369,3
18370,88800,9
18370,109549,7
18370,111474,21
18370,125910,6
18517,27579,17
18517,51231,12
18517,51703,12
18517,65369,4
18517,109549,3
18517,111474,12
18517,117994,8
18517,125910,4
18517,421078,2
26886,65369,3
26886,109549,3
27579,49057,18
27579,65369,8
27579,109549,4
27579,411993,9
27579,421078,9
49057,51231,12
49057,51703,15
49057,65369,4
49057,109549,3
49057,110872,8
49057,111474,14
49057,117994,8
49057,125910,4
49057,130535,16
49057,411993,8
49057,421078,2
51231,88800,23
51231,109549,4
51231,125910,5
51231,411993,5
51703,65369,3
51703,109549,3
51703,411993,9
51703,421078,9
65369,88772,3
65369,88800,3
65369,95399,3
65369,109549,2
65369,110872,3
65369,111413,3
65369,111474,5
65369,117994,2
65369,125910,2
65369,130535,7
65369,411993,2
65369,421078,2
88772,109549,6
88800,109549,3
88800,125910,13
88800,411993,8
95399,109549,4
95399,421078,9
109549,110872,4
109549,111413,4
109549,111474,4
109549,117994,7
109549,125910,2
109549,130535,5
109549,411993,2
109549,421078,3
110872,421078,6
111413,421078,8
111474,411993,9
111474,421078,9
117994,421078,7
125910,411993,3
125910,421078,4
411993,421078,4
6882,253468,5
1526,18467,13
2782,3948,4
2782,5664,2
2782,5665,3
2782,5666,3
2782,5667,2
2782,5668,3
2782,244768,5
3948,244768,3
5664,244768,2
5665,244768,2
5666,244768,2
5667,244768,4
5668,244768,2
26812,244656,3
26812,253230,3
26812,253256,6
26812,312896,7
26999,244656,3
26999,253230,3
26999,253256,5
26999,312896,4
64352,244656,4
64352,253230,4
64352,253256,7
64352,312896,5
244656,312896,2
253230,312896,3
253256,312896,8
64352,311866,7
5785,78262,2
3948,6882,18
6877,14124,18
6877,26759,9
6882,14124,35
6882,26759,8
14124,88800,21
3946,18467,3
3946,60389,4
3947,18467,3
3947,60389,7
3948,18467,3
3948,60389,6
18467,60389,2
2995,253256,2
1387,125910,13
1526,117966,9
1526,2782,8
1526,144709,10
1526,253256,9
2782,5506,5
2782,6882,7
2782,18370,3
2782,21696,7
2782,26886,10
2782,51703,3
2782,144709,3
2782,253256,3
5506,21696,16
5506,144709,3
6882,144709,7
18370,21696,7
18370,144709,7
21696,26886,19
21696,51703,15
21696,144709,5
21696,253256,7
26886,144709,9
51703,144709,6
51703,253256,10
1387,51231,31
14124,18517,14
14124,49057,12
1387,52722,13
